name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift
HPPSC070A_J083901.3+361305,blue,129.755713,36.21812,62.55,144.616,253.502,161.8,,,12.584,12.482,9.558,8.097,14.586,13.963,13.526,0.0558
HPPSC070A_J112112.2-025903,blue,170.300997,-2.98416,6166.681,8199.517,7510.701,,2634.2,,10.201,9.558,5.446,2.852,12.793,11.889,11.285,0.024897
HPPSC070A_J105911.8+243001,blue,164.799161,24.500401,284.617,522.197,,243.4,89.8,,13.189,12.929,9.429,7.443,15.17,14.172,13.63,0.036749
HPPSC070A_J081013.1+335654,blue,122.554672,33.948362,218.489,356.168,,,,,13.883,13.635,8.87,6.305,,,,0.01744
HPPSC070A_J122343.4+011840,blue,185.931011,1.311151,37.665,48.9,,,,,15.416,15.096,11.305,7.872,,,,0.026413
HPPSC070A_J085025.5+411453,blue,132.60659,41.248172,72.176,152.907,,,,,13.967,13.689,10.548,8.294,16.234,15.539,14.824,0.094614
HPPSC070A_J121549.2+131148,blue,183.955305,13.196636,73.054,111.342,153.952,99.3,,,13.911,13.755,10.264,8.238,15.783,14.973,14.696,0.064928
HPPSC070A_J101917.0+211733,blue,154.820858,21.292365,166.454,,268.608,,,,14.447,13.528,9.388,7.29,16.554,15.739,15.029,0.260564
HPPSC070A_J212042.6-530046,blue,320.177816,-53.012771,23.02,,,,77.6,,13.109,13.096,10.275,8.088,15.309,14.654,14.532,0.049628
HPPSC070A_J125850.8+523913,blue,194.71165,52.653517,83.503,88.379,,95.7,56.3,,12.331,11.489,7.618,4.849,14.67,14.069,13.58,0.055195
HPPSC070A_J042000.3-545616,blue,65.001407,-54.93771,2930.884,3929.972,2917.168,1706.5,977.6,,8.915,8.617,5.704,3.389,11.73,10.913,10.398,0.005017
HPPSC070A_J183334.3+595319,blue,278.393028,59.888558,4716.543,6191.925,6989.223,2914.6,1232.1,,10.755,10.303,5.896,3.264,,,,0.028113
HPPSC070A_J030323.1-153908,blue,45.84657,-15.652224,37.51,,95.894,,35.1,,14.105,14.027,10.938,8.603,16.061,15.177,14.928,0.0308
HPPSC070A_J125835.2+273547,blue,194.646936,27.596359,968.722,1556.886,1487.081,656.4,255.3,,10.712,10.636,7.463,5.705,12.816,12.163,11.787,0.025604
HPPSC070A_J191053.6+732437,blue,287.723318,73.410344,3678.077,4701.823,5104.993,2713.9,,,10.609,10.333,5.957,3.248,13.357,12.761,12.147,0.025017
HPPSC070A_J074540.1-262843,blue,116.417386,-26.478731,874.027,,1401.439,577.1,279,,11.749,11.56,7.366,5.309,15.344,14.123,13.533,0.007986
HPPSC070A_J170452.9+344551,blue,256.220496,34.764152,164.16,,318.086,,,,14.213,13.642,9.833,7.24,16.345,15.633,14.917,0.225829
HPPSC070A_J151921.9+653439,blue,229.841641,65.577501,493.977,,561.93,258.9,118.4,,12.029,10.976,6.95,4.209,14.343,13.676,13.184,0.0444
HPPSC070A_J112835.6+583711,blue,172.148697,58.619668,44.43,95.973,150.508,99.7,50.2,,13.83,13.595,10.102,9.253,15.617,15.132,14.642,0.08125
HPPSC070A_J105250.1+574451,blue,163.208868,57.747565,163.263,190.905,200.473,92.2,39.5,,13.421,13.044,9.545,6.931,15.276,14.525,13.987,0.073048
HPPSC070A_J112833.6+583346,blue,172.140242,58.562912,81806.894,66583.062,,13014.4,,,9.305,8.278,3.618,-0.295,12.577,11.427,10.813,0.011
HPPSC070A_J053043.2-040117,blue,82.68006,-4.021319,111.931,,396.604,,,,12.831,12.667,8.89,7.075,15.603,14.652,14.118,0.041582
HPPSC070A_J163056.5+040458,blue,247.735652,4.082785,8195.54,10536.986,9231.606,3713.6,1433.1,475.2,10.325,9.896,5.404,2.734,13.236,12.316,11.783,0.02449
HPPSC070A_J112536.1+542254,blue,171.400745,54.38169,42.029,,,,,,,,,,,,,0.021091
HPPSC070A_J122857.9+435746,blue,187.24152,43.962763,128.521,242.665,335.209,,,,12.879,12.744,9.503,7.384,15.012,14.162,13.673,0.072964
HPPSC070A_J225710.5-362744,blue,344.293876,-36.462157,368.298,,346.748,,,,8.195,8.215,7.368,5.656,10.899,10.088,9.763,0.006011
HPPSC070A_J133056.3+470507,blue,202.734761,47.085386,176.973,372.684,438.459,,,,13.309,13.041,9.23,7.802,15.559,14.064,13.669,0.074236
HPPSC070A_J033234.8-274456,blue,53.145168,-27.748777,1.203,,,,,,,,,,,,,0.13
HPPSC070A_J092157.6+510228,blue,140.490244,51.041226,71.786,123.129,195.116,90.5,,,13.752,13.603,9.743,8.046,15.744,15.021,14.761,0.065984
HPPSC070A_J122557.8+130339,blue,186.490874,13.060946,74.065,100.159,129.23,51.5,,,14.446,14.147,9.951,8.512,16.173,15.583,14.86,0.118298
HPPSC070A_J123906.2-161046,blue,189.775918,-16.179554,323.977,,552.658,289.6,,,11.086,10.293,7.092,4.711,13.863,13.098,12.361,0.036675
HPPSC070A_J133109.8+471013,blue,202.791009,47.1704,49.346,88.819,,63.1,,,14.355,13.338,10.333,7.667,,,,0.38706
HPPSC070A_J143857.7+621416,blue,219.740721,62.237864,96.183,,235.705,,,,13.674,13.366,9.764,8.093,15.921,15.049,14.447,0.110496
HPPSC070A_J042231.9+365009,blue,65.633091,36.835935,1316.798,,1578.844,697.7,277.5,,12.923,12.446,8.208,5.493,15.685,14.561,13.719,0.063901
HPPSC070A_J161551.5+463327,blue,243.964652,46.557563,136.136,,360.514,,,,13.086,12.969,9.274,7.71,15.108,14.333,14.017,0.030067
HPPSC070A_J081954.3+505122,blue,124.976406,50.856032,65.515,96.344,135.166,,,,14.575,14.32,10.023,8.398,16.315,15.58,15.194,0.10157
HPPSC070A_J043622.2-102233,blue,69.092661,-10.375955,2669.538,,2606.533,1101.5,,,9.543,8.397,5.102,2.711,13.202,12.126,11.004,0.03555
HPPSC070A_J033208.9-275059,blue,53.037353,-27.849847,2.162,5.005,,,,,17.481,17.823,13.132,9.416,,,,0.7364
HPPSC070A_J033226.5-275710,blue,53.110612,-27.952777,1.858,,,,,,,,,,,,,0.218
HPPSC070A_J122741.9+440042,blue,186.924857,44.011672,33.793,27.01,33.592,,,,14.758,13.964,10.414,6.974,,,,0.3478
HPPSC070A_J012620.8-323014,blue,21.586735,-32.503777,22.67,,139.457,105.2,,,12.523,12.03,9.867,8.138,16.11,15.267,14.527,0.2251
HPPSC070A_J113235.4+525651,blue,173.147479,52.947385,372.343,,506.993,223.6,84.1,,12.225,12.124,8.501,6.515,14.485,13.815,13.259,0.027839
HPPSC070A_J115245.6+101624,blue,178.190074,10.273226,142.945,117.637,67.102,,,,12.527,11.285,7.401,4.6,14.91,14.303,13.729,0.069897
HPPSC070A_J125828.4+270020,blue,194.618685,27.005642,28.909,24.469,55.172,,,,16.389,16.051,12.084,8.995,,,,0.41863
HPPSC070A_J025140.4-163903,blue,42.918607,-16.65073,3044.626,,2133.932,745.8,320.1,118.9,10.387,9.705,5.925,2.697,12.934,12.124,11.622,0.011595
