name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift1,redshift2
HPPSC070A_J041131.6+384444,blue,62.881885,38.745507,233.553,,,,,,,,,,16.981,15.685,14.675,,
HPPSC070A_J230234.2+012638,blue,345.64257,1.443966,15.014,40.018,74.3,,,,14.469,14.228,10.901,8.207,16.581,15.89,15.3,,
HPPSC070A_J225939.5-070451,blue,344.914746,-7.08089,28.705,,63.524,,,,15.402,14.7,10.968,7.903,,,,,
HPPSC070A_J140342.2+542347,blue,210.92609,54.396385,52.76,101.127,222.753,151.4,,,15.471,15.578,10.509,8.214,,,,,
HPPSC070A_J123804.6+114926,blue,189.519316,11.82399,21.046,,,,,,16.878,16.387,12.149,8.364,,,,,
HPPSC070A_J123410.7+081447,blue,188.544746,8.246409,29.956,85.426,177.146,126.9,,,13.873,13.662,10.874,7.536,15.888,14.886,14.325,,
HPPSC070A_J115657.6-795629,blue,179.240053,-79.941288,194.786,,369.392,185.4,,,13.441,13.095,9.108,6.844,15.884,15.13,14.179,,
HPPSC070A_J101630.7+303514,blue,154.128253,30.587291,28.58,,95.124,,,,14.068,13.583,10.276,8.153,16.272,15.444,14.767,,
HPPSC070A_J111848.4-324404,blue,169.701783,-32.73451,20.782,48.763,71.23,,,,13.31,13.243,11.287,9.032,15.344,14.567,14.215,,
HPPSC070A_J164650.1-104957,blue,251.709059,-10.832567,255.763,,,144.6,,,13.603,13.237,8.988,6.762,15.898,15.182,14.4,,
HPPSC070A_J113517.6-014837,blue,173.823375,-1.81038,28.196,,,,,,16.765,15.909,11.846,8.584,,,,,
HPPSC070A_J094826.1+133905,blue,147.108758,13.651463,35.143,,74.891,,,,15.204,14.841,10.403,8.133,,,,,
HPPSC070A_J144100.3-370350,blue,220.251344,-37.063798,295.274,,428.836,,,,13.467,13.177,8.817,6.217,16.114,15.337,14.546,,
HPPSC070A_J084910.3+445333,blue,132.293269,44.892521,16.096,,38.033,,,,15.64,15.154,11.422,8.544,,,,,
HPPSC070A_J155445.9+320628,blue,238.691318,32.107833,50.384,,,75,,,14.566,14.035,10.304,8.425,16.483,15.652,14.976,,
HPPSC070A_J074329.6-281446,blue,115.873646,-28.246166,205.601,,359.36,185.6,74.7,,12.432,12.26,9.377,7.268,14.848,13.749,13.209,,
HPPSC070A_J023112.8+873639,blue,37.803547,87.610882,240.941,356.53,466.127,,,,13.271,12.999,9.028,6.739,16,15.058,14.503,,
HPPSC070A_J130006.4+282622,blue,195.026933,28.439464,13.377,,,,,,14.974,14.607,11.729,9.105,17.242,16.389,15.736,,
HPPSC070A_J151656.5+362312,blue,229.23565,36.386704,28.447,,,,,,,,,,,,,,
HPPSC070A_J075949.4-311806,blue,119.955844,-31.301699,669.111,,1186.574,619.7,281.3,,11.968,11.812,7.594,5.488,15.74,14.597,13.94,,
HPPSC070A_J013321.5+303858,blue,23.339852,30.649445,34.415,,,,,,14.224,13.869,9.933,7.844,16.71,15.586,14.65,,
HPPSC070A_J095510.0+690855,blue,148.791701,69.148586,47.29,,,,,,,,,,,,,,
HPPSC070A_J123617.7+130905,blue,189.074098,13.151486,28.082,60.651,,49,,,15.869,15.626,11.937,9.045,,,,,
HPPSC070A_J060159.8+201045,blue,90.499478,20.179208,1059.86,,2412.511,,,,13.366,11.75,9.775,5.542,17.205,16.079,14.691,,
HPPSC070A_J112514.9+022723,blue,171.312119,2.456339,36.461,45.897,,,,,16.704,15.917,12.34,8.452,,,,,
HPPSC070A_J180459.8-034750,blue,271.249462,-3.79735,198.013,,244.833,171.4,,,13.755,13.472,10.037,7.47,,,,,
HPPSC070A_J061443.9+802737,blue,93.683014,80.460144,81.185,100.314,,,,,12.244,12.234,10.115,8.206,13.882,13.111,12.886,,
HPPSC070A_J104022.3-462525,blue,160.093097,-46.423735,1172.898,,1336.049,561.7,214.2,,10.391,9.752,6.382,3.841,13.005,12.192,11.385,,
HPPSC070A_J123531.7+275044,blue,188.882214,27.845522,51.969,90.882,94.411,58.5,,,14.743,14.37,10.422,7.93,16.867,15.817,15.245,,
HPPSC070A_J053614.6+872632,blue,84.061029,87.442264,117.281,,173.999,,,,13.625,13.342,9.895,8.162,,,,,
HPPSC070A_J073433.5-214732,blue,113.639749,-21.792206,253.838,,924.64,,,,12.558,11.291,7.876,4.937,15.949,14.564,13.392,,
HPPSC070A_J074801.2-273105,blue,117.005125,-27.518191,203.243,,166.713,,,,13.558,13.42,9.668,7.099,15.35,15.127,14.596,,
HPPSC070A_J130257.7+050625,blue,195.740639,5.106891,9.821,,,,,,,,,,,,,,
HPPSC070A_J075304.7+422931,blue,118.269699,42.491888,7.608,,,,,,16.375,16.275,11.799,8.445,,,,,
HPPSC070A_J120317.8+442833,blue,180.824225,44.475856,56.349,,,,,,14.196,13.9,11.056,8.574,16.141,15.38,14.753,,
HPPSC070A_J053526.8+883159,blue,83.861734,88.533134,490.131,682.355,734.195,,,,12.329,12.153,8.043,6.159,15.044,14.163,13.686,,
