name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift1,redshift2
HPPSC070A_J174110.4+674608,blue,265.293341,67.768794,70.953000,,,82.600000,,,14.103000,13.917000,10.225000,8.577000,16.179000,15.331000,14.897000,2.446000,3.290000
HPPSC070A_J053508.9+331740,blue,83.787332,33.294375,143.744000,,303.792000,168.500000,,,13.058000,12.907000,9.371000,7.071000,15.855000,14.871000,14.299000,2.071000,4.950000
HPPSC070A_J014824.0+631555,blue,27.100256,63.265272,347.407000,,689.107000,295.200000,113.300000,,13.152000,12.601000,8.341000,6.117000,16.410000,15.433000,14.476000,1.928000,3.653000
HPPSC070A_J112015.0+671504,blue,170.062648,67.251161,33.664000,,,,,,15.277000,15.085000,11.931000,8.703000,,,,2.703000,4.975000
HPPSC070A_J024143.9+882933,blue,40.433095,88.492592,324.064000,374.847000,,,,,13.366000,13.050000,8.947000,6.491000,15.580000,14.610000,14.080000,2.071000,4.975000
HPPSC070A_J131615.2+420620,blue,199.063511,42.105487,163.810000,,249.629000,132.300000,66.700000,,14.153000,13.563000,9.847000,7.334000,16.491000,15.754000,14.702000,2.071000,4.003000
HPPSC070A_J091727.9+415738,blue,139.366618,41.960426,17.339000,21.664000,69.329000,,,,15.436000,14.985000,11.344000,8.226000,,,,4.916000,4.975000
HPPSC070A_J080804.7-335306,blue,122.019816,-33.884885,322.101000,,537.151000,,,,12.535000,11.897000,8.412000,5.618000,15.258000,14.289000,13.564000,1.928000,4.975000
HPPSC070A_J163318.3+401809,blue,248.326440,40.302562,40.704000,,66.315000,44.100000,,,14.850000,14.278000,10.675000,8.576000,,,,3.023000,4.475000
HPPSC070A_J164432.4-210259,blue,251.135037,-21.049685,133.316000,,221.657000,140.200000,,,13.595000,12.945000,9.116000,6.877000,16.215000,15.383000,14.583000,1.928000,3.290000
HPPSC070A_J060059.0+213845,blue,90.246223,21.645733,114.656000,,,,,,13.336000,13.097000,9.138000,7.417000,16.124000,15.073000,14.527000,1.928000,4.894000
HPPSC070A_J110610.3+000223,blue,166.543268,0.039731,22.512000,,,26.600000,,,16.110000,15.574000,12.142000,8.738000,,,,2.552000,4.708000
HPPSC070A_J061811.2+150013,blue,94.547008,15.003576,344.824000,,1618.784000,,,,10.428000,9.629000,6.543000,4.750000,13.616000,12.741000,11.944000,4.452000,0.002000
HPPSC070A_J041310.9+245759,blue,63.295505,24.966368,393.141000,,302.115000,129.500000,,,12.850000,12.484000,8.464000,5.474000,14.947000,14.034000,13.496000,1.928000,2.310000
HPPSC070A_J152457.7-630730,blue,231.240443,-63.125138,11077.584000,11927.680000,10101.500000,,,,10.340000,9.667000,5.202000,2.245000,14.235000,13.054000,12.206000,1.928000,4.975000
HPPSC070A_J112033.3+130230,blue,170.139016,13.041581,21.668000,,,,,,15.920000,15.190000,11.709000,8.879000,,,,2.479000,4.975000
HPPSC070A_J033507.9+572501,blue,53.783192,57.416838,396.436000,,346.279000,,,,12.660000,12.054000,8.510000,5.737000,16.857000,15.232000,14.290000,1.928000,4.398000
HPPSC070A_J061030.8+164628,blue,92.628341,16.774373,217.583000,,557.008000,,,,13.545000,13.119000,9.210000,7.623000,16.634000,15.700000,14.906000,2.071000,4.975000
HPPSC070A_J111622.1-761758,blue,169.092081,-76.299516,149.393000,,,97.200000,,,,,,,15.184000,14.266000,13.855000,0.854000,0.002000
HPPSC070A_J173947.5+684816,blue,264.948040,68.804518,100.804000,,144.712000,,,,15.181000,14.637000,10.855000,8.091000,,,,3.023000,4.975000
HPPSC070A_J040951.9+251220,blue,62.466324,25.205635,200.054000,,585.784000,293.800000,,,13.027000,12.740000,8.699000,7.001000,15.531000,14.774000,14.342000,2.981000,4.950000
HPPSC070A_J080504.2-342448,blue,121.267699,-34.413471,218.759000,,359.147000,151.300000,69.000000,,14.452000,14.450000,10.898000,7.833000,14.886000,14.023000,13.643000,2.818000,4.254000
HPPSC070A_J123617.7+131112,blue,189.074111,13.186680,21.116000,,,,,,17.517000,16.507000,12.476000,8.971000,,,,2.337000,4.975000
HPPSC070A_J071446.8-114506,blue,108.695393,-11.751747,106.284000,,360.610000,,,,13.070000,12.854000,9.928000,7.850000,15.693000,14.615000,14.006000,4.452000,4.975000
HPPSC070A_J053810.9-070927,blue,84.545418,-7.157544,661.964000,,1091.861000,,,,,,,,15.143000,14.657000,13.610000,1.144000,1.453000
HPPSC070A_J111113.0+284243,blue,167.804481,28.711973,5246.716000,6464.640000,4985.519000,,,,11.042000,10.606000,6.196000,3.278000,13.567000,12.587000,12.033000,2.071000,4.975000
HPPSC070A_J123620.3+130900,blue,189.084645,13.150124,32.650000,40.483000,,,,,15.434000,14.186000,9.864000,7.075000,,,,2.259000,2.125000
HPPSC070A_J103129.0+245013,blue,157.870850,24.837075,12.644000,34.656000,49.760000,,,,16.087000,15.609000,12.193000,9.001000,,,,4.916000,4.975000
HPPSC070A_J072021.8-182012,blue,110.090886,-18.336594,278.474000,,467.979000,218.600000,,,12.965000,12.762000,9.566000,6.920000,15.696000,14.582000,13.863000,2.071000,4.950000
HPPSC070A_J063313.7+075528,blue,98.307373,7.924412,607.509000,,929.385000,400.700000,139.000000,,13.192000,12.710000,8.566000,5.957000,15.958000,15.063000,14.076000,1.928000,4.003000
HPPSC070A_J134057.4-614543,blue,205.239192,-61.761939,174017.971000,197253.241000,201200.437000,,,,9.476000,7.409000,3.473000,-1.429000,15.241000,13.782000,11.603000,1.928000,4.950000
HPPSC070A_J124607.7-020723,blue,191.532165,-2.123178,41.182000,,,,,,15.114000,14.296000,12.270000,8.493000,,,,2.626000,4.975000
HPPSC070A_J044015.2+474223,blue,70.063337,47.706373,317.033000,,631.317000,,,,12.995000,12.695000,8.523000,6.626000,16.445000,15.419000,14.652000,1.928000,4.975000
HPPSC070A_J164745.3-195101,blue,251.938831,-19.850164,101.663000,,338.888000,,,,13.660000,13.510000,9.717000,8.104000,15.910000,15.047000,14.663000,2.981000,4.975000
HPPSC070A_J024444.2+602037,blue,41.184395,60.343748,2163.974000,,5939.922000,,,,11.532000,9.712000,7.000000,4.627000,16.401000,14.856000,14.067000,2.071000,4.975000
HPPSC070A_J084127.4+204047,blue,130.364326,20.679785,9.828000,,20.824000,,,,16.256000,16.063000,11.649000,7.875000,,,,2.325000,3.834000
HPPSC070A_J043134.2+360925,blue,67.892634,36.156871,165.169000,,283.386000,,,,13.710000,13.534000,9.670000,8.179000,16.156000,15.182000,14.816000,2.071000,4.975000
HPPSC070A_J031615.4+002200,blue,49.064223,0.366691,40.295000,,,,,,15.251000,14.816000,10.734000,8.182000,,,,2.407000,4.975000
HPPSC070A_J101623.1+303630,blue,154.096456,30.608405,30.613000,,197.319000,150.100000,80.500000,34.300000,,,,,,,,4.324000,4.324000
HPPSC070A_J073349.0-222734,blue,113.454155,-22.459369,136.494000,,,,,,13.102000,12.779000,9.309000,7.457000,15.818000,14.901000,13.973000,2.071000,4.975000
HPPSC070A_J043929.6+490207,blue,69.873702,49.035349,517.883000,,997.045000,,,,13.099000,12.681000,8.445000,6.357000,16.310000,15.090000,14.457000,1.928000,4.975000
HPPSC070A_J053623.3+314552,blue,84.097160,31.764573,481.500000,,1123.268000,,,,13.858000,12.817000,11.783000,6.586000,16.515000,15.365000,14.356000,2.071000,4.975000
HPPSC070A_J121805.3+063822,blue,184.522270,6.639497,28.692000,,,,,,15.913000,15.245000,11.100000,8.424000,,,,2.337000,4.975000
HPPSC070A_J013417.2+303343,blue,23.571693,30.561948,654.188000,,1967.433000,,,,13.431000,12.883000,7.893000,5.535000,,,,4.916000,4.980000
HPPSC070A_J104928.5+554851,blue,162.369140,55.814154,26.626000,,,38.800000,,,,,,,,,,1.330000,1.330000
HPPSC070A_J122725.8+441523,blue,186.857862,44.256518,13.584000,,,,,,16.096000,15.772000,11.614000,8.351000,,,,2.325000,4.950000
HPPSC070A_J011418.7-080958,blue,18.578187,-8.166148,309.833000,,,250.500000,95.500000,,13.069000,12.782000,8.635000,6.731000,15.589000,14.668000,14.254000,1.928000,2.310000
HPPSC070A_J224759.0+612750,blue,341.995968,61.463873,3718.498000,,7069.079000,,,,11.123000,10.692000,5.680000,3.814000,16.331000,15.306000,14.535000,1.928000,4.975000
HPPSC070A_J172141.2+584432,blue,260.421659,58.742188,48.187000,83.572000,82.993000,38.300000,,,15.313000,14.741000,10.421000,8.730000,,,,3.023000,4.253000
HPPSC070A_J140423.5+543605,blue,211.098163,54.601361,33.914000,49.167000,76.599000,45.100000,,,15.705000,15.274000,11.354000,9.262000,,,,3.851000,4.950000
HPPSC070A_J045040.5+450314,blue,72.669122,45.053796,180.602000,,274.861000,122.500000,,,11.375000,11.355000,10.088000,8.871000,13.877000,12.707000,12.129000,4.960000,0.000000
HPPSC070A_J105147.1-005146,blue,162.946531,-0.862694,16.160000,21.318000,,,,,16.182000,16.227000,11.748000,8.876000,,,,2.780000,4.975000
HPPSC070A_J111936.4+133914,blue,169.901690,13.653905,12.309000,21.474000,46.440000,,,,15.407000,15.201000,11.747000,8.541000,,,,4.916000,4.975000
HPPSC070A_J013909.4+632110,blue,24.789256,63.352746,199.248000,,455.285000,,,,13.051000,12.783000,8.728000,7.073000,15.995000,15.234000,14.580000,2.071000,4.975000
HPPSC070A_J130827.0-765541,blue,197.112798,-76.927999,204.604000,,427.772000,237.200000,108.700000,,13.355000,13.155000,9.352000,7.226000,15.446000,14.477000,13.575000,2.238000,4.382000
HPPSC070A_J054052.3+494206,blue,85.218103,49.701567,254.669000,326.244000,245.640000,,,,12.992000,12.830000,9.013000,6.598000,14.969000,14.224000,13.998000,2.238000,4.894000
HPPSC070A_J210223.1+274818,blue,315.596414,27.805070,37.295000,,103.189000,61.200000,,,12.886000,12.809000,10.802000,8.902000,15.008000,14.337000,13.747000,4.894000,0.000000
HPPSC070A_J125923.2+282918,blue,194.846747,28.488455,50.198000,137.720000,177.031000,95.500000,,,14.397000,14.200000,10.587000,8.475000,15.684000,15.432000,14.820000,2.981000,4.950000
HPPSC070A_J124600.4+452952,blue,191.501946,45.497659,35.172000,,,32.500000,,,15.735000,15.274000,11.247000,9.153000,,,,2.479000,4.475000
HPPSC070A_J122829.7+435834,blue,187.123938,43.976244,25.499000,36.886000,71.658000,,,,15.369000,14.907000,11.260000,8.656000,,,,4.916000,4.975000
HPPSC070A_J004313.0+401001,blue,10.804482,40.167021,350.113000,355.650000,357.210000,157.200000,62.900000,,13.624000,13.118000,8.868000,6.317000,15.696000,14.969000,14.378000,1.928000,2.310000
HPPSC070A_J041551.4+505640,blue,63.964331,50.944406,515.609000,,357.950000,,,,13.874000,13.292000,9.567000,6.094000,16.550000,15.464000,14.783000,1.928000,4.975000
HPPSC070A_J061028.9+164326,blue,92.620740,16.723915,9510.376000,,,,,,10.940000,10.288000,5.020000,1.969000,15.853000,14.706000,13.829000,1.928000,4.991000
HPPSC070A_J160516.1+324940,blue,241.317225,32.827749,8.817000,,26.163000,,,,16.833000,16.940000,12.789000,9.018000,,,,4.916000,4.975000
HPPSC070A_J040049.3+525828,blue,60.205569,52.974323,592.565000,,733.169000,306.100000,,,12.608000,12.395000,8.561000,6.210000,15.451000,14.332000,13.621000,1.928000,4.363000
HPPSC070A_J141608.0+460406,blue,214.033410,46.068288,58.944000,100.496000,175.552000,,,,14.053000,13.871000,9.978000,8.206000,16.212000,15.484000,14.539000,3.016000,4.975000
HPPSC070A_J111107.5+284432,blue,167.781299,28.742293,25.102000,46.930000,,,,,15.212000,14.683000,10.931000,8.443000,16.822000,16.147000,16.083000,2.480000,4.975000
HPPSC070A_J124232.8+323805,blue,190.636725,32.634611,42.867000,88.609000,138.966000,122.100000,75.800000,,16.396000,16.136000,11.872000,9.240000,,,,4.916000,4.980000
HPPSC070A_J210221.4+680436,blue,315.589489,68.076715,781.971000,1463.537000,2480.287000,,,,12.050000,11.697000,7.673000,6.031000,16.034000,14.461000,13.628000,2.071000,4.975000
HPPSC070A_J021326.7-252742,blue,33.361556,-25.461568,35.359000,,,,,,15.227000,14.559000,10.864000,8.650000,,,,2.479000,4.975000
